                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74728,                  0.583,                 1.1158,                0.89698,                0.76478,                0.83641,                0.53875,                 1.1901,                0.65682,                 1.4339,             0.00024747,             0.00024747,             0.00024747
                     36,                0.74228,                 0.5812,                 1.1084,                 0.9025,                0.76202,                0.83505,                0.55835,                 1.1517,                0.61088,                 1.4281,             0.00023334,             0.00023334,             0.00023334
                     37,                0.72613,                0.58424,                 1.1171,                0.90436,                0.78544,                0.83861,                0.56241,                 1.1436,                0.59452,                 1.4308,              0.0002192,              0.0002192,              0.0002192
                     38,                0.71336,                 0.5512,                 1.0944,                0.90356,                0.79104,                0.84989,                  0.557,                 1.1333,                0.61146,                 1.3789,             0.00020506,             0.00020506,             0.00020506
                     39,                0.72055,                0.55164,                 1.0967,                 0.9253,                0.76371,                0.85019,                0.55362,                 1.1798,                0.62007,                 1.4257,             0.00019092,             0.00019092,             0.00019092
                     40,                0.70315,                0.54316,                 1.0883,                0.89359,                0.79971,                0.85623,                0.58299,                 1.0954,                0.56208,                 1.3617,             0.00017679,             0.00017679,             0.00017679
                     41,                0.68943,                0.45178,                 1.0703,                 0.8878,                0.79233,                0.84896,                 0.5932,                 1.0387,                0.57388,                 1.2959,             0.00016265,             0.00016265,             0.00016265
                     42,                0.67566,                0.44142,                 1.0631,                0.92158,                0.78033,                0.85387,                0.59892,                 1.0367,                0.55355,                 1.3165,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.6698,                 0.4393,                 1.0698,                0.92083,                 0.7868,                0.86032,                0.59129,                 1.0835,                0.56664,                 1.3702,             0.00013437,             0.00013437,             0.00013437
                     44,                0.66454,                0.42885,                 1.0639,                0.92156,                0.78769,                0.85677,                0.59044,                 1.0431,                0.54733,                 1.3183,             0.00012024,             0.00012024,             0.00012024
                     45,                0.63842,                0.41548,                 1.0432,                 0.9121,                0.80947,                0.86757,                0.60917,                 1.0235,                0.51513,                 1.3064,              0.0001061,              0.0001061,              0.0001061
                     46,                0.62747,                0.40018,                 1.0381,                0.91655,                0.79628,                0.86496,                0.60486,                 1.0313,                0.52668,                 1.3125,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.61091,                0.39155,                 1.0308,                 0.9031,                0.81334,                0.86836,                0.61763,                0.99492,                0.51317,                 1.3014,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.59922,                0.37898,                 1.0247,                0.92202,                0.81703,                0.87491,                0.61729,                 1.0007,                0.50276,                  1.315,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.59564,                0.37522,                 1.0151,                0.93669,                0.80766,                0.87637,                0.62046,                0.99034,                0.50182,                 1.3062,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.58768,                0.37848,                 1.0146,                0.92334,                0.81353,                0.87421,                0.61924,                0.98983,                0.49729,                 1.3106,             3.5414e-05,             3.5414e-05,             3.5414e-05
